Subject id 	 Noise Mean 	 Inattention mean
2	6.573747292	23.584240333819782
2	6.573747292	43.30822172758557
2	6.573747292	31.600886872250037
2	6.573747292	46.822535850668785
2	6.573747292	30.715368222197483
2	6.573747292	102.44300873215514
2	6.573747292	69.21032841734036
2	6.573747292	22.60606855112019
2	6.573747292	39.1126286166336
2	6.573747292	59.92567893754332
2	6.573747292	73.87166773522851
2	6.573747292	63.90510372716812
2	6.573747292	108.65992240551343
2	6.573747292	382.7099124702175
2	6.573747292	28.93867681015684
2	6.573747292	107.36877112371027
3	6.573747292	34.64886177680576
3	6.573747292	89.03884768648427
3	6.573747292	69.74417385122494
3	6.573747292	20.597687037446136
3	6.573747292	18.615383167640434
3	6.573747292	48.12485054957081
3	6.573747292	32.31481654472451
3	6.573747292	27.820845987606468
3	6.573747292	27.335372235114516
3	6.573747292	79.03298420225724
3	6.573747292	23.46974795500403
3	6.573747292	75.64363276725199
3	6.573747292	61.09191275515694
3	6.573747292	41.748192460469376
3	6.573747292	65.0986614552266
3	6.573747292	26.099738698852878
4	6.573747292	51.37388129921436
4	6.573747292	52.04946284907031
4	6.573747292	83.12598760790905
4	6.573747292	32.358014565435894
4	6.573747292	45.72539984790761
4	6.573747292	51.93208949037483
4	6.573747292	24.811740937936897
4	6.573747292	42.2973171136169
4	6.573747292	93.43649143775791
4	6.573747292	22.624604979912462
4	6.573747292	42.88826115206318
4	6.573747292	46.118566355476865
4	6.573747292	9.7623396202405
4	6.573747292	31.914578196358736
4	6.573747292	46.91402930933576
4	6.573747292	9.586593386196203
5	6.573747292	
