subject_nr,subject_id,game_nr,trial_nr,perc_noise,perc_noise_sample,orientation,orientation_sample,orientation_0,orientation_0_sample,orientation_positive_unfair,orientation_positive_fair,reference_line,radii
1,2,5,5,18,16.851384,10,12.47115131,10,12.47115131,1,1,0,0
1,2,5,6,18,16.964599,5,1.023000222,5,1.023000222,1,1,0,0
1,2,5,7,18,18.97191126,-5,-8.834657047,-5,-8.834657047,0,0,0,0
1,2,5,8,18,18.18345799,10,8.278456306,10,8.278456306,1,1,0,0
1,2,5,9,18,18.11532691,-10,-13.07379999,-10,-13.07379999,0,0,0,0
1,2,5,10,18,16.79760556,-10,-11.33276788,-10,-11.33276788,0,0,0,0
1,2,5,11,18,16.65256315,10,16.24080142,10,16.24080142,1,1,0,0
1,2,5,12,18,15.47259988,-5,-6.711462667,-5,-6.711462667,0,0,0,0
1,2,5,13,18,18.62557032,10,16.41742622,10,16.41742622,1,1,0,0
1,2,5,14,18,13.48476258,5,13.38270607,5,13.38270607,1,1,0,0
1,2,5,15,18,14.78530302,-5,-13.40195352,-5,-13.40195352,0,0,0,0
1,2,5,16,18,14.13183713,5,10.01804604,5,10.01804604,1,1,0,0
1,2,5,17,0,19.01579465,-10,-10,-10,-10,0,0,0,0
1,2,5,18,0,17.27283018,10,10,10,10,1,1,0,0
1,2,6,1,6,7.232667506,95,96.05210611,5,6.052106106,1,1,90,0
1,2,6,2,6,4.90581025,80,79.84157263,-10,-10.15842737,0,0,90,0
1,2,6,3,6,7.114468786,95,94.95105492,5,4.951054919,1,1,90,0
1,2,6,4,6,5.750640121,100,98.44047864,10,8.440478644,1,1,90,0
1,2,6,5,6,6.272105474,100,101.0174248,10,11.01742483,1,1,90,0
1,2,6,6,6,5.81747877,95,94.19620176,5,4.196201757,1,1,90,0
1,2,6,7,6,5.683158066,95,96.91411857,5,6.914118575,1,1,90,0
1,2,6,8,6,6.48922738,100,99.30430696,10,9.304306957,1,1,90,0
1,2,6,9,6,5.611534824,85,84.13602035,-5,-5.863979655,0,0,90,0
1,2,6,10,6,6.003480954,80,80.6695712,-10,-9.3304288,0,0,90,0
1,2,6,11,6,5.858154511,80,78.55283544,-10,-11.44716456,0,0,90,0
1,2,6,12,6,4.813147196,80,81.83334188,-10,-8.166658116,0,0,90,0
1,2,6,13,6,5.192834462,85,85.21884987,-5,-4.781150131,0,0,90,0
1,2,6,14,6,5.818283318,100,100.143161,10,10.14316101,1,1,90,0
1,2,6,15,6,6.820182654,85,85.05440023,-5,-4.945599765,0,0,90,0
1,2,6,16,6,5.0769979,85,85.53929056,-5,-4.460709437,0,0,90,0
