Subject id 	 Noise Mean 	 Inattention mean
2	6.573747292	36.185095402839316
2	6.573747292	19.631730561399877
2	6.573747292	115.49083968954875
2	6.573747292	96.1770175559403
2	6.573747292	1064.1107177669119
2	6.573747292	59.68222342548307
2	6.573747292	1074.0411495111985
2	6.573747292	1068.525055997427
2	6.573747292	79.16458867007123
2	6.573747292	126.4384745394934
2	6.573747292	84.11868870696593
2	6.573747292	38.19798911947542
2	6.573747292	59.16390094475729
2	6.573747292	600.1185911217062
2	6.573747292	39.35299439199885
2	6.573747292	614.9305494751385
3	6.573747292	1073.8569655902031
3	6.0365432385	48.83854068104859
3	6.238860829437501	1073.2073008635737
3	8.901005294562498	1077.1346059529349
3	11.593001764812499	151.4591670686492
3	12.244196542125	54.10175550469528
3	13.186374184124999	85.25678642305682
3	10.832481114875002	86.02409489548076
3	12.2246853696875	nan
3	11.49584553175	236.04622302201807
3	12.781172988125	39.559445798995235
3	12.154188722812501	46.28087075712254
3	11.8961454811875	180.6634375507092
3	11.28845312125	52.144815578196855
3	12.208457236249998	47.794029245220806
3	10.614482592062501	73.22802758685219
4	6.573747292	31.31186488777403
4	6.238860829437501	52.19144979131214
4	11.593001764812499	93.44060827642748
4	13.186374184124999	1090.2625012580754
4	12.2246853696875	1085.895783239459
4	12.781172988125	1058.6772889756128
4	11.8961454811875	1081.975488490441
4	12.208457236249998	29.662732461871297
4	12.166745216062502	nan
4	12.6730321860625	50.38425536323385
4	12.994624501	78.85366841791136
4	13.226400128125	24.473776484369463
4	10.12479193525	95.29336283288575
4	11.896315753187501	60.731254203824584
4	12.249364196624999	71.00567160740289
4	10.031238624937501	8.945266348282459
5	6.573747292	1068.910588861978
5	8.901005294562498	48.24976514699494
5	13.186374184124999	63.31874191603908
5	11.49584553175	60.75956078615698
5	11.8961454811875	19.465947490161902
5	10.614482592062501	151.75865020412547
5	12.6730321860625	122.8988824201407
5	12.007468667687501	122.72576036479043
5	10.12479193525	149.77753671412327
5	11.009670947250001	58.81104272601416
5	10.031238624937501	51.705590581372476
5	12.011682452875	52.00369352453349
5	11.977891325	1072.119198463005
5	13.058748461124999	56.08586248852973
5	13.119898812875	23.504308115747563
5	13.3645940085625	14.921243326659102
6	6.573747292	1051.294318288808
6	11.593001764812499	1052.556995753074
6	12.2246853696875	nan
6	11.8961454811875	nan
6	12.166745216062502	nan
6	12.994624501	nan
6	10.12479193525	nan
6	12.249364196624999	nan
6	10.988727042312501	nan
6	11.977891325	nan
6	14.09910767725	nan
6	13.382061758875	nan
6	10.4976340145	nan
6	13.678833209	nan
6	13.6686310155	1083.890295912819
6	12.082177311437501	nan
7	6.573747292	702.2984496688442
7	12.244196542125	108.83340990298493
7	12.781172988125	42.0381532921971
7	10.614482592062501	40.65484217741847
7	12.994624501	189.4066092390513
7	9.972176552	30.723611035771384
7	10.031238624937501	230.92074501064698
7	13.2334952491875	433.9140810665225
7	14.09910767725	101.78324014089021
7	13.3645940085625	38.63893895461139
7	12.2436389478125	51.3179190676298
7	12.8717854943125	163.0574314939171
7	12.082177311437501	180.7310268766773
7	12.122528967125	674.0455557711223
7	14.4933670635	1101.9511364483546
7	11.9211908979375	323.3613404291872
8	6.573747292	1090.8584526313987
8	13.186374184124999	1095.9197422247055
8	11.8961454811875	191.73473884882384
8	12.6730321860625	1059.228466171162
8	10.12479193525	32.016407980834714
8	10.031238624937501	120.60086435358568
8	11.977891325	1067.9244243667317
8	13.119898812875	289.3762627811156
8	10.4976340145	155.7718217581261
8	12.436944767375001	10.557180046619951
8	12.082177311437501	28.292033608000704
8	13.263712216125	80.61471234838531
8	11.0695742499375	1374.2698526316783
8	12.362556592937501	119.82765551145557
8	13.3500690278125	57.49292599775884
8	11.119297432875001	36.57456614765083
9	6.573747292	nan
9	10.832481114875002	1066.5068641572573
9	12.208457236249998	nan
9	12.007468667687501	nan
9	12.249364196624999	nan
9	13.2334952491875	nan
9	13.119898812875	nan
9	10.1007047160625	1098.1200652546484
9	13.6686310155	nan
9	11.677317078875001	nan
9	14.4933670635	nan
9	14.2013657443125	1092.2987788886087
9	13.3500690278125	1082.3514099512754
9	11.3678028074375	nan
9	11.401920686875	1087.8848074323973
9	12.8092612841875	nan
10	6.573747292	1084.7815320347481
10	12.2246853696875	1073.9374358024122
10	12.166745216062502	1072.1481275007386
